I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
29.170,28.790,29.050,28.940,43.000,28.990,14.010,8.000,0.000,0.000,112.080,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.180,28.790,29.050,28.940,43.000,28.990,14.010,8.000,0.000,0.000,112.070,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.200,28.790,29.040,28.950,43.000,29.000,14.000,8.000,0.000,0.000,112.020,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.240,28.800,29.050,28.970,43.000,29.010,13.990,8.000,0.000,0.000,111.890,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.290,28.810,29.070,28.990,43.000,29.040,13.960,8.000,0.000,0.000,111.670,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.370,28.830,29.100,29.030,43.000,29.080,13.920,8.000,0.000,0.000,111.360,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.450,28.860,29.130,29.070,43.000,29.130,13.870,8.000,0.000,0.000,110.970,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.550,28.900,29.180,29.120,43.000,29.190,13.810,8.000,0.000,0.000,110.480,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.670,28.960,29.230,29.180,43.000,29.260,13.740,8.000,0.000,0.000,109.930,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.800,29.020,29.280,29.250,43.000,29.340,13.660,8.000,0.000,0.000,109.300,0.000,0.000,90.000,90.000,1.000,4.000,1.000
29.920,29.080,29.350,29.320,43.000,29.420,13.580,8.000,0.000,0.000,108.660,0.000,0.000,90.000,90.000,1.000,4.000,1.000
30.060,29.160,29.420,29.390,43.000,29.510,13.490,8.000,0.000,0.000,107.950,0.000,0.000,90.000,90.000,1.000,4.000,1.000
30.200,29.240,29.500,29.470,43.000,29.600,13.400,8.000,0.000,0.000,107.180,0.000,0.000,90.000,90.000,1.000,4.000,1.000
30.360,29.330,29.580,29.560,43.000,29.710,13.290,8.000,0.000,0.000,106.350,0.000,0.000,90.000,90.000,1.000,4.000,1.000
30.530,29.420,29.660,29.650,43.000,29.810,13.190,8.000,0.000,0.000,105.500,0.000,0.000,90.000,90.000,1.000,4.000,1.000
30.690,29.510,29.750,29.740,43.000,29.920,13.080,8.000,0.000,0.000,104.630,0.000,0.000,90.000,90.000,1.000,4.000,1.000
30.850,29.600,29.840,29.830,43.000,30.030,12.970,8.000,0.000,0.000,103.760,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.000,29.690,29.930,29.930,43.000,30.140,12.860,8.000,0.000,0.000,102.900,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.150,29.780,30.030,30.020,43.000,30.250,12.750,8.000,0.000,0.000,102.030,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.320,29.870,30.130,30.120,43.000,30.360,12.640,8.000,0.000,0.000,101.110,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.490,29.970,30.230,30.220,43.000,30.480,12.520,8.000,0.000,0.000,100.180,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.650,30.070,30.330,30.320,43.000,30.590,12.410,8.000,0.000,0.000,99.240,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.810,30.170,30.430,30.420,43.000,30.710,12.290,8.000,0.000,0.000,98.310,0.000,0.000,90.000,90.000,1.000,4.000,1.000
31.970,30.270,30.540,30.530,43.000,30.830,12.170,8.000,0.000,0.000,97.380,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.100,30.370,30.650,30.640,43.000,30.940,12.060,8.000,0.000,0.000,96.480,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.250,30.460,30.750,30.740,43.000,31.050,11.950,8.000,0.000,0.000,95.580,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.380,30.550,30.860,30.840,43.000,31.160,11.840,8.000,0.000,0.000,94.730,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.500,30.640,30.970,30.950,43.000,31.260,11.740,8.000,0.000,0.000,93.880,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.630,30.720,31.080,31.050,43.000,31.370,11.630,8.000,0.000,0.000,93.030,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.780,30.810,31.190,31.160,43.000,31.490,11.510,8.000,0.000,0.000,92.120,0.000,0.000,90.000,90.000,1.000,4.000,1.000
32.920,30.910,31.300,31.270,43.000,31.600,11.400,8.000,0.000,0.000,91.200,0.000,0.000,90.000,90.000,1.000,4.000,1.000
33.070,31.010,31.410,31.370,43.000,31.720,11.280,8.000,0.000,0.000,90.260,0.000,0.000,90.000,90.000,1.000,4.000,1.000
33.220,31.120,31.530,31.480,43.000,31.840,11.160,8.000,0.000,0.000,89.310,0.000,0.000,89.310,90.000,1.000,4.000,1.000
33.360,31.220,31.640,31.580,43.000,31.950,11.050,8.000,0.000,0.000,88.400,0.000,0.000,88.400,90.000,1.000,4.000,1.000
33.480,31.320,31.750,31.690,43.000,32.060,10.940,8.000,0.000,0.000,87.530,0.000,0.000,87.530,90.000,1.000,4.000,1.000
33.600,31.400,31.870,31.790,43.000,32.160,10.840,8.000,0.000,0.000,86.690,0.000,0.000,86.690,90.000,1.000,4.000,1.000
33.720,31.500,31.970,31.890,43.000,32.270,10.730,8.000,0.000,0.000,85.840,0.000,0.000,85.840,90.000,1.000,4.000,1.000
33.850,31.600,32.080,31.990,43.000,32.380,10.620,8.000,0.000,0.000,84.960,0.000,0.000,84.960,90.000,1.000,4.000,1.000
33.990,31.700,32.190,32.090,43.000,32.490,10.510,8.000,0.000,0.000,84.070,0.000,0.000,84.070,90.000,1.000,4.000,1.000
34.120,31.810,32.300,32.180,43.000,32.600,10.400,8.000,0.000,0.000,83.190,0.000,0.000,83.190,90.000,1.000,4.000,1.000
34.250,31.910,32.410,32.280,43.000,32.710,10.290,8.000,0.000,0.000,82.310,0.000,0.000,82.310,90.000,1.000,4.000,1.000
34.370,32.000,32.510,32.370,43.000,32.810,10.190,8.000,0.000,0.000,81.490,0.000,0.000,81.490,90.000,1.000,4.000,1.000
34.480,32.100,32.610,32.470,43.000,32.920,10.080,8.000,0.000,0.000,80.670,0.000,0.000,80.670,90.000,1.000,4.000,1.000
34.600,32.200,32.720,32.560,43.000,33.020,9.980,8.000,0.000,0.000,79.850,0.000,0.000,79.850,90.000,1.000,4.000,1.000
34.720,32.310,32.820,32.650,43.000,33.130,9.870,8.000,0.000,0.000,79.000,0.000,0.000,79.000,90.000,1.000,4.000,1.000
34.840,32.400,32.920,32.740,43.000,33.230,9.770,8.000,0.000,0.000,78.190,0.000,0.000,78.190,90.000,1.000,4.000,1.000
34.960,32.490,33.020,32.830,43.000,33.330,9.670,8.000,0.000,0.000,77.390,0.000,0.000,77.390,90.000,1.000,4.000,1.000
35.080,32.590,33.110,32.920,43.000,33.420,9.580,8.000,0.000,0.000,76.600,0.000,0.000,76.600,90.000,1.000,4.000,1.000
35.190,32.700,33.210,33.010,43.000,33.530,9.470,8.000,0.000,0.000,75.780,0.000,0.000,75.780,90.000,1.000,4.000,1.000
35.300,32.810,33.300,33.090,43.000,33.630,9.370,8.000,0.000,0.000,74.990,0.000,0.000,74.990,90.000,1.000,4.000,1.000
35.410,32.910,33.400,33.170,43.000,33.720,9.280,8.000,0.000,0.000,74.210,0.000,0.000,74.210,90.000,1.000,4.000,1.000
35.530,33.010,33.490,33.250,43.000,33.820,9.180,8.000,0.000,0.000,73.420,0.000,0.000,73.420,90.000,1.000,4.000,1.000
35.640,33.120,33.580,33.340,43.000,33.920,9.080,8.000,0.000,0.000,72.640,0.000,0.000,72.640,90.000,1.000,4.000,1.000
35.740,33.220,33.670,33.420,43.000,34.010,8.990,8.000,0.000,0.000,71.910,0.000,0.000,71.910,90.000,1.000,4.000,1.000
35.850,33.310,33.750,33.490,43.000,34.100,8.900,8.000,0.000,0.000,71.190,0.000,0.000,71.190,90.000,1.000,4.000,1.000
