I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
28.780,28.560,28.870,28.580,43.000,28.700,14.300,20.000,0.000,0.000,286.090,0.000,0.000,100.000,100.000,1.000,4.000,1.000
28.780,28.540,28.920,28.630,43.000,28.720,14.280,20.000,0.000,0.000,285.630,0.000,0.000,100.000,100.000,1.000,4.000,1.000
28.810,28.550,29.040,28.760,43.000,28.790,14.210,20.000,0.000,0.000,284.210,0.000,0.000,100.000,100.000,1.000,4.000,1.000
28.870,28.590,29.250,28.960,43.000,28.920,14.080,20.000,0.000,0.000,281.650,0.000,0.000,100.000,100.000,1.000,4.000,1.000
28.980,28.660,29.540,29.230,43.000,29.100,13.900,20.000,0.000,0.000,277.980,0.000,0.000,100.000,100.000,1.000,4.000,1.000
29.140,28.760,29.920,29.550,43.000,29.340,13.660,20.000,0.000,0.000,273.200,0.000,0.000,100.000,100.000,1.000,4.000,1.000
29.350,28.890,30.360,29.910,43.000,29.630,13.370,20.000,0.000,0.000,267.450,0.000,0.000,100.000,100.000,1.000,4.000,1.000
29.610,29.070,30.860,30.330,43.000,29.970,13.030,20.000,0.000,0.000,260.690,0.000,0.000,100.000,100.000,1.000,4.000,1.000
29.900,29.270,31.380,30.780,43.000,30.330,12.670,20.000,0.000,0.000,253.350,0.000,0.000,100.000,100.000,1.000,4.000,1.000
30.220,29.500,31.880,31.220,43.000,30.700,12.300,20.000,0.000,0.000,245.910,0.000,0.000,100.000,100.000,1.000,4.000,1.000
30.550,29.740,32.360,31.630,43.000,31.070,11.930,20.000,0.000,0.000,238.600,0.000,0.000,100.000,100.000,1.000,4.000,1.000
30.880,29.990,32.810,32.030,43.000,31.430,11.570,20.000,0.000,0.000,231.480,0.000,0.000,100.000,100.000,1.000,4.000,1.000
31.180,30.230,33.220,32.410,43.000,31.760,11.240,20.000,0.000,0.000,224.770,0.000,0.000,100.000,100.000,1.000,4.000,1.000
31.490,30.470,33.610,32.790,43.000,32.090,10.910,20.000,0.000,0.000,218.240,0.000,0.000,100.000,100.000,1.000,4.000,1.000
31.780,30.710,33.980,33.140,43.000,32.400,10.600,20.000,0.000,0.000,211.930,0.000,0.000,100.000,100.000,1.000,4.000,1.000
32.060,30.940,34.350,33.460,43.000,32.700,10.300,20.000,0.000,0.000,205.970,0.000,0.000,100.000,100.000,1.000,4.000,1.000
32.340,31.160,34.680,33.760,43.000,32.980,10.020,20.000,0.000,0.000,200.360,0.000,0.000,100.000,100.000,1.000,4.000,1.000
32.590,31.360,34.990,33.990,43.000,33.230,9.770,20.000,0.000,0.000,195.310,0.000,0.000,100.000,100.000,1.000,4.000,1.000
32.850,31.550,35.270,34.210,43.000,33.470,9.530,20.000,0.000,0.000,190.570,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.090,31.740,35.510,34.380,43.000,33.680,9.320,20.000,0.000,0.000,186.440,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.300,31.940,35.750,34.540,43.000,33.880,9.120,20.000,0.000,0.000,182.350,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.510,32.140,35.980,34.740,43.000,34.090,8.910,20.000,0.000,0.000,178.160,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.710,32.310,36.220,34.980,43.000,34.310,8.690,20.000,0.000,0.000,173.880,0.000,0.000,100.000,100.000,1.000,4.000,1.000
33.910,32.470,36.470,35.210,43.000,34.510,8.490,20.000,0.000,0.000,169.730,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.090,32.620,36.700,35.410,43.000,34.700,8.300,20.000,0.000,0.000,165.940,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.230,32.780,36.900,35.570,43.000,34.870,8.130,20.000,0.000,0.000,162.620,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.390,32.920,37.090,35.770,43.000,35.040,7.960,20.000,0.000,0.000,159.170,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.550,33.080,37.280,35.930,43.000,35.210,7.790,20.000,0.000,0.000,155.800,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.710,33.240,37.470,36.110,43.000,35.380,7.620,20.000,0.000,0.000,152.310,0.000,0.000,100.000,100.000,1.000,4.000,1.000
34.860,33.390,37.660,36.290,43.000,35.550,7.450,20.000,0.000,0.000,148.980,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.010,33.520,37.860,36.500,43.000,35.720,7.280,20.000,0.000,0.000,145.510,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.160,33.670,38.060,36.700,43.000,35.900,7.100,20.000,0.000,0.000,142.080,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.300,33.820,38.240,36.890,43.000,36.060,6.940,20.000,0.000,0.000,138.720,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.450,33.980,38.420,37.050,43.000,36.220,6.780,20.000,0.000,0.000,135.510,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.600,34.140,38.570,37.170,43.000,36.370,6.630,20.000,0.000,0.000,132.630,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.740,34.300,38.710,37.300,43.000,36.510,6.490,20.000,0.000,0.000,129.770,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.860,34.440,38.870,37.430,43.000,36.650,6.350,20.000,0.000,0.000,127.000,0.000,0.000,100.000,100.000,1.000,4.000,1.000
35.980,34.550,39.040,37.570,43.000,36.780,6.220,20.000,0.000,0.000,124.310,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.070,34.650,39.200,37.690,43.000,36.900,6.100,20.000,0.000,0.000,121.930,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.160,34.770,39.340,37.790,43.000,37.020,5.980,20.000,0.000,0.000,119.650,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.260,34.900,39.490,37.930,43.000,37.150,5.850,20.000,0.000,0.000,117.070,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.370,35.020,39.650,38.030,43.000,37.270,5.730,20.000,0.000,0.000,114.670,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.490,35.140,39.770,38.090,43.000,37.380,5.620,20.000,0.000,0.000,112.490,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.600,35.260,39.900,38.230,43.000,37.500,5.500,20.000,0.000,0.000,110.020,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.710,35.360,40.030,38.390,43.000,37.620,5.380,20.000,0.000,0.000,107.550,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.810,35.450,40.170,38.490,43.000,37.730,5.270,20.000,0.000,0.000,105.370,0.000,0.000,100.000,100.000,1.000,4.000,1.000
36.910,35.510,40.310,38.590,43.000,37.830,5.170,20.000,0.000,0.000,103.410,0.000,0.000,100.000,100.000,1.000,4.000,1.000
37.000,35.590,40.440,38.710,43.000,37.930,5.070,20.000,0.000,0.000,101.310,0.000,0.000,100.000,100.000,1.000,4.000,1.000
37.100,35.680,40.580,38.820,43.000,38.040,4.960,20.000,0.000,0.000,99.160,0.000,0.000,99.160,100.000,1.000,4.000,1.000
37.190,35.760,40.730,38.950,43.000,38.160,4.840,20.000,0.000,0.000,96.860,0.000,0.000,96.860,100.000,1.000,4.000,1.000
37.290,35.850,40.900,39.130,43.000,38.290,4.710,20.000,0.000,0.000,94.170,0.000,0.000,94.170,100.000,1.000,4.000,1.000
37.400,35.960,41.110,39.320,43.000,38.450,4.550,20.000,0.000,0.000,91.030,0.000,0.000,91.030,100.000,1.000,4.000,1.000
37.530,36.090,41.350,39.540,43.000,38.630,4.370,20.000,0.000,0.000,87.460,0.000,0.000,87.460,100.000,1.000,4.000,1.000
37.660,36.240,41.600,39.780,43.000,38.820,4.180,20.000,0.000,0.000,83.600,0.000,0.000,83.600,100.000,1.000,4.000,1.000
37.820,36.400,41.890,40.050,43.000,39.040,3.960,20.000,0.000,0.000,79.170,0.000,0.000,79.170,100.000,1.000,4.000,1.000
38.010,36.580,42.210,40.320,43.000,39.280,3.720,20.000,0.000,0.000,74.470,0.000,0.000,74.470,100.000,1.000,4.000,1.000
38.190,36.760,42.540,40.620,43.000,39.530,3.470,20.000,0.000,0.000,69.400,0.000,0.000,69.400,100.000,1.000,4.000,1.000
38.400,36.940,42.920,40.960,43.000,39.800,3.200,20.000,0.000,0.000,63.940,0.000,0.000,63.940,100.000,1.000,4.000,1.000
38.640,37.130,43.320,41.280,43.000,40.090,2.910,20.000,0.000,0.000,58.130,0.000,0.000,58.130,100.000,1.000,4.000,1.000
38.900,37.340,43.730,41.610,43.000,40.390,2.610,20.000,0.000,0.000,52.140,0.000,0.000,52.140,100.000,1.000,4.000,1.000
39.140,37.540,44.120,41.980,43.000,40.690,2.310,20.000,0.000,0.000,46.140,0.000,0.000,46.140,100.000,1.000,4.000,1.000
39.390,37.740,44.510,42.370,43.000,41.000,2.000,20.000,0.000,0.000,39.960,0.000,0.000,39.960,100.000,1.000,4.000,1.000
39.630,37.960,44.890,42.690,43.000,41.290,1.710,20.000,0.000,0.000,34.130,0.000,0.000,34.130,100.000,1.000,4.000,1.000
39.880,38.200,45.250,43.000,43.000,41.580,1.420,20.000,0.000,0.000,28.330,0.000,0.000,28.330,100.000,1.000,4.000,1.000
40.120,38.440,45.610,43.300,43.000,41.870,1.130,20.000,0.000,0.000,22.690,0.000,0.000,22.690,100.000,1.000,4.000,1.000
40.350,38.680,45.930,43.540,43.000,42.130,0.870,20.000,0.000,0.000,17.440,0.000,0.000,17.440,100.000,1.000,4.000,1.000
40.570,38.880,46.210,43.780,43.000,42.360,0.640,20.000,0.000,0.000,12.810,0.000,0.000,12.810,100.000,1.000,4.000,1.000
40.780,39.030,46.430,43.950,43.000,42.550,0.450,20.000,0.000,0.000,9.040,0.000,0.000,9.040,100.000,1.000,4.000,1.000
41.000,39.170,46.600,44.040,43.000,42.700,0.300,20.000,0.000,0.000,5.950,0.000,0.000,5.950,100.000,1.000,4.000,1.000
41.180,39.330,46.740,44.170,43.000,42.850,0.150,20.000,0.000,0.000,2.950,0.000,0.000,2.950,100.000,1.000,4.000,1.000
41.320,39.450,46.900,44.340,43.000,43.000,0.000,20.000,0.000,0.000,-0.090,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.450,39.570,47.060,44.490,43.000,43.140,-0.140,20.000,0.000,0.000,-2.880,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.580,39.690,47.190,44.610,43.000,43.270,-0.270,20.000,0.000,0.000,-5.350,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.690,39.790,47.300,44.750,43.000,43.380,-0.380,20.000,0.000,0.000,-7.630,0.000,0.000,0.000,100.000,1.000,4.000,1.000
