I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
28.740,28.230,29.200,29.280,43.000,29.280,13.720,3.000,0.020,0.000,41.150,0.000,0.000,30.000,30.000,1.000,4.000,1.000
28.820,28.250,29.270,29.370,43.000,29.370,13.630,3.000,0.020,0.000,40.880,0.000,0.000,30.000,30.000,1.000,4.000,1.000
28.950,28.280,29.390,29.510,43.000,29.510,13.490,3.000,0.020,0.000,40.470,0.000,0.000,30.000,30.000,1.000,4.000,1.000
29.150,28.330,29.550,29.690,43.000,29.690,13.310,3.000,0.020,0.000,39.940,0.000,0.000,30.000,30.000,1.000,4.000,1.000
29.400,28.420,29.730,29.900,43.000,29.900,13.100,3.000,0.020,0.000,39.290,0.000,0.000,30.000,30.000,1.000,4.000,1.000
29.690,28.520,29.960,30.160,43.000,30.160,12.840,3.000,0.020,0.000,38.520,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.010,28.660,30.210,30.450,43.000,30.450,12.550,3.000,0.020,0.000,37.660,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.380,28.810,30.490,30.770,43.000,30.770,12.230,3.000,0.020,0.000,36.700,0.000,0.000,30.000,30.000,1.000,4.000,1.000
30.770,29.000,30.800,31.110,43.000,31.110,11.890,3.000,0.020,0.000,35.670,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.200,29.200,31.120,31.480,43.000,31.480,11.520,3.000,0.020,0.000,34.570,0.000,0.000,30.000,30.000,1.000,4.000,1.000
31.650,29.420,31.470,31.860,43.000,31.860,11.140,3.000,0.020,0.000,33.420,0.000,0.000,30.000,30.000,1.000,4.000,1.000
32.140,29.660,31.820,32.260,43.000,32.260,10.740,3.000,0.020,0.000,32.220,0.000,0.000,30.000,30.000,1.000,4.000,1.000
32.630,29.910,32.200,32.680,43.000,32.680,10.320,3.000,0.020,0.000,30.960,0.000,0.000,30.000,30.000,1.000,4.000,1.000
33.120,30.180,32.580,33.110,43.000,33.120,9.880,3.000,0.020,0.000,29.640,0.200,0.000,29.840,30.000,1.000,4.000,1.000
33.630,30.460,32.980,33.550,43.000,33.630,9.370,3.000,0.020,0.000,28.120,0.390,0.000,28.500,30.000,1.000,4.000,1.000
34.130,30.760,33.390,34.010,43.000,34.130,8.870,3.000,0.020,0.000,26.600,0.560,0.000,27.160,30.000,1.000,4.000,1.000
34.670,31.070,33.810,34.460,43.000,34.670,8.330,3.000,0.020,0.000,24.980,0.730,0.000,25.710,30.000,1.000,4.000,1.000
35.190,31.380,34.230,34.930,43.000,35.190,7.810,3.000,0.020,0.000,23.430,0.890,0.000,24.320,30.000,1.000,4.000,1.000
35.690,31.700,34.660,35.390,43.000,35.690,7.310,3.000,0.020,0.000,21.930,1.030,0.000,22.960,30.000,1.000,4.000,1.000
36.220,32.030,35.080,35.850,43.000,36.220,6.780,3.000,0.020,0.000,20.340,1.170,0.000,21.500,30.000,1.000,4.000,1.000
36.740,32.380,35.490,36.290,43.000,36.740,6.260,3.000,0.020,0.000,18.780,1.290,0.000,20.080,30.000,1.000,4.000,1.000
37.210,32.730,35.890,36.740,43.000,37.210,5.790,3.000,0.020,0.000,17.360,1.410,0.000,18.770,30.000,1.000,4.000,1.000
37.710,33.080,36.280,37.170,43.000,37.710,5.290,3.000,0.020,0.000,15.870,1.510,0.000,17.390,30.000,1.000,4.000,1.000
38.180,33.440,36.660,37.580,43.000,38.180,4.820,3.000,0.020,0.000,14.460,1.610,0.000,16.070,30.000,1.000,4.000,1.000
38.670,33.770,37.020,37.980,43.000,38.670,4.330,3.000,0.020,0.000,12.980,1.700,0.000,14.680,30.000,1.000,4.000,1.000
