I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
39.210,37.640,34.980,36.790,42.000,39.210,2.790,3.000,0.025,0.000,8.360,5.530,0.000,13.880,30.000,0.200,4.000,1.000
39.180,37.620,34.970,36.770,42.000,39.180,2.820,3.000,0.025,0.000,8.450,5.540,0.000,13.990,30.000,0.200,4.000,1.000
39.170,37.620,34.960,36.760,42.000,39.170,2.830,3.000,0.025,0.000,8.490,5.560,0.000,14.050,30.000,0.200,4.000,1.000
39.150,37.600,34.950,36.750,42.000,39.150,2.850,3.000,0.025,0.000,8.540,5.570,0.000,14.110,30.000,0.200,4.000,1.000
39.140,37.600,34.940,36.740,42.000,39.140,2.860,3.000,0.025,0.000,8.590,5.580,0.000,14.170,30.000,0.200,4.000,1.000
39.130,37.590,34.920,36.720,42.000,39.130,2.870,3.000,0.025,0.000,8.600,5.600,0.000,14.200,30.000,0.200,4.000,1.000
39.110,37.570,34.910,36.710,42.000,39.110,2.890,3.000,0.025,0.000,8.680,5.610,0.000,14.290,30.000,0.200,4.000,1.000
39.090,37.570,34.910,36.700,42.000,39.090,2.910,3.000,0.025,0.000,8.730,5.630,0.000,14.360,30.000,0.200,4.000,1.000
39.080,37.550,34.890,36.690,42.000,39.080,2.920,3.000,0.025,0.000,8.770,5.640,0.000,14.410,30.000,0.200,4.000,1.000
39.050,37.540,34.890,36.680,42.000,39.050,2.950,3.000,0.025,0.000,8.840,5.660,0.000,14.500,30.000,0.200,4.000,1.000
39.040,37.540,34.880,36.670,42.000,39.040,2.960,3.000,0.025,0.000,8.880,5.670,0.000,14.550,30.000,0.200,4.000,1.000
39.030,37.520,34.870,36.660,42.000,39.030,2.970,3.000,0.025,0.000,8.910,5.690,0.000,14.600,30.000,0.200,4.000,1.000
39.010,37.510,34.870,36.650,42.000,39.010,2.990,3.000,0.025,0.000,8.980,5.700,0.000,14.680,30.000,0.200,4.000,1.000
38.990,37.500,34.860,36.640,42.000,38.990,3.010,3.000,0.025,0.000,9.030,5.720,0.000,14.740,30.000,0.200,4.000,1.000
38.980,37.480,34.860,36.650,42.000,38.980,3.020,3.000,0.025,0.000,9.070,5.730,0.000,14.800,30.000,0.200,4.000,1.000
38.960,37.480,34.860,36.630,42.000,38.960,3.040,3.000,0.025,0.000,9.110,5.750,0.000,14.850,30.000,0.200,4.000,1.000
38.950,37.460,34.850,36.630,42.000,38.950,3.050,3.000,0.025,0.000,9.140,5.760,0.000,14.900,30.000,0.200,4.000,1.000
38.930,37.450,34.850,36.630,42.000,38.930,3.070,3.000,0.025,0.000,9.200,5.780,0.000,14.980,30.000,0.200,4.000,1.000
38.930,37.440,34.840,36.620,42.000,38.930,3.070,3.000,0.025,0.000,9.210,5.790,0.000,15.000,30.000,0.200,4.000,1.000
38.920,37.430,34.840,36.620,42.000,38.920,3.080,3.000,0.025,0.000,9.230,5.810,0.000,15.040,30.000,0.200,4.000,1.000
38.910,37.420,34.840,36.610,42.000,38.910,3.090,3.000,0.025,0.000,9.260,5.820,0.000,15.080,30.000,0.200,4.000,1.000
38.910,37.410,34.840,36.610,42.000,38.910,3.090,3.000,0.025,0.000,9.280,5.840,0.000,15.120,30.000,0.200,4.000,1.000
38.890,37.390,34.850,36.610,42.000,38.890,3.110,3.000,0.025,0.000,9.330,5.850,0.000,15.190,30.000,0.200,4.000,1.000
38.880,37.390,34.840,36.600,42.000,38.880,3.120,3.000,0.025,0.000,9.350,5.870,0.000,15.220,30.000,0.200,4.000,1.000
38.870,37.370,34.840,36.610,42.000,38.870,3.130,3.000,0.025,0.000,9.380,5.890,0.000,15.270,30.000,0.200,4.000,1.000
38.860,37.370,34.850,36.600,42.000,38.860,3.140,3.000,0.025,0.000,9.410,5.900,0.000,15.310,30.000,0.200,4.000,1.000
38.860,37.360,34.840,36.610,42.000,38.860,3.140,3.000,0.025,0.000,9.420,5.920,0.000,15.340,30.000,0.200,4.000,1.000
38.850,37.340,34.850,36.600,42.000,38.850,3.150,3.000,0.025,0.000,9.440,5.930,0.000,15.380,30.000,0.200,4.000,1.000
38.850,37.340,34.850,36.600,42.000,38.850,3.150,3.000,0.025,0.000,9.450,5.950,0.000,15.400,30.000,0.200,4.000,1.000
38.840,37.330,34.860,36.610,42.000,38.840,3.160,3.000,0.025,0.000,9.470,5.960,0.000,15.440,30.000,0.200,4.000,1.000
38.850,37.330,34.870,36.610,42.000,38.850,3.150,3.000,0.025,0.000,9.460,5.980,0.000,15.440,30.000,0.200,4.000,1.000
38.850,37.310,34.860,36.620,42.000,38.850,3.150,3.000,0.025,0.000,9.460,6.000,0.000,15.460,30.000,0.200,4.000,1.000
38.830,37.310,34.870,36.610,42.000,38.830,3.170,3.000,0.025,0.000,9.500,6.010,0.000,15.510,30.000,0.200,4.000,1.000
38.840,37.300,34.870,36.620,42.000,38.840,3.160,3.000,0.025,0.000,9.490,6.030,0.000,15.520,30.000,0.200,4.000,1.000
38.830,37.290,34.880,36.620,42.000,38.830,3.170,3.000,0.025,0.000,9.520,6.040,0.000,15.560,30.000,0.200,4.000,1.000
38.830,37.290,34.880,36.630,42.000,38.830,3.170,3.000,0.025,0.000,9.520,6.060,0.000,15.580,30.000,0.200,4.000,1.000
38.810,37.280,34.890,36.630,42.000,38.810,3.190,3.000,0.025,0.000,9.570,6.080,0.000,15.650,30.000,0.200,4.000,1.000
38.810,37.270,34.890,36.630,42.000,38.810,3.190,3.000,0.025,0.000,9.570,6.090,0.000,15.660,30.000,0.200,4.000,1.000
38.800,37.260,34.900,36.640,42.000,38.800,3.200,3.000,0.025,0.000,9.610,6.110,0.000,15.720,30.000,0.200,4.000,1.000
38.800,37.260,34.910,36.640,42.000,38.800,3.200,3.000,0.025,0.000,9.590,6.120,0.000,15.710,30.000,0.200,4.000,1.000
38.790,37.240,34.920,36.650,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.140,0.000,15.780,30.000,0.200,4.000,1.000
38.800,37.240,34.920,36.660,42.000,38.800,3.200,3.000,0.025,0.000,9.610,6.160,0.000,15.770,30.000,0.200,4.000,1.000
38.780,37.230,34.930,36.660,42.000,38.780,3.220,3.000,0.025,0.000,9.650,6.170,0.000,15.820,30.000,0.200,4.000,1.000
38.790,37.230,34.930,36.670,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.190,0.000,15.830,30.000,0.200,4.000,1.000
38.780,37.220,34.950,36.680,42.000,38.780,3.220,3.000,0.025,0.000,9.650,6.200,0.000,15.850,30.000,0.200,4.000,1.000
38.780,37.210,34.950,36.680,42.000,38.780,3.220,3.000,0.025,0.000,9.650,6.220,0.000,15.870,30.000,0.200,4.000,1.000
38.780,37.200,34.960,36.700,42.000,38.780,3.220,3.000,0.025,0.000,9.670,6.240,0.000,15.900,30.000,0.200,4.000,1.000
38.790,37.200,34.970,36.700,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.250,0.000,15.890,30.000,0.200,4.000,1.000
38.780,37.190,34.980,36.710,42.000,38.780,3.220,3.000,0.025,0.000,9.670,6.270,0.000,15.940,30.000,0.200,4.000,1.000
38.780,37.190,34.980,36.710,42.000,38.780,3.220,3.000,0.025,0.000,9.650,6.280,0.000,15.930,30.000,0.200,4.000,1.000
38.780,37.180,35.000,36.720,42.000,38.780,3.220,3.000,0.025,0.000,9.670,6.300,0.000,15.970,30.000,0.200,4.000,1.000
38.780,37.180,34.990,36.730,42.000,38.780,3.220,3.000,0.025,0.000,9.660,6.320,0.000,15.980,30.000,0.200,4.000,1.000
38.780,37.170,35.010,36.740,42.000,38.780,3.220,3.000,0.025,0.000,9.670,6.330,0.000,16.000,30.000,0.200,4.000,1.000
38.790,37.170,35.020,36.750,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.350,0.000,15.990,30.000,0.200,4.000,1.000
38.780,37.170,35.030,36.760,42.000,38.780,3.220,3.000,0.025,0.000,9.660,6.360,0.000,16.020,30.000,0.200,4.000,1.000
38.800,37.170,35.030,36.770,42.000,38.800,3.200,3.000,0.025,0.000,9.610,6.380,0.000,15.990,30.000,0.200,4.000,1.000
38.790,37.160,35.050,36.780,42.000,38.790,3.210,3.000,0.025,0.000,9.630,6.400,0.000,16.020,30.000,0.200,4.000,1.000
38.800,37.160,35.050,36.790,42.000,38.800,3.200,3.000,0.025,0.000,9.610,6.410,0.000,16.020,30.000,0.200,4.000,1.000
38.790,37.160,35.080,36.800,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.430,0.000,16.070,30.000,0.200,4.000,1.000
38.790,37.160,35.070,36.810,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.440,0.000,16.080,30.000,0.200,4.000,1.000
38.780,37.160,35.100,36.820,42.000,38.780,3.220,3.000,0.025,0.000,9.650,6.460,0.000,16.120,30.000,0.200,4.000,1.000
38.790,37.170,35.100,36.830,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.480,0.000,16.110,30.000,0.200,4.000,1.000
38.780,37.160,35.120,36.840,42.000,38.780,3.220,3.000,0.025,0.000,9.670,6.490,0.000,16.160,30.000,0.200,4.000,1.000
38.790,37.170,35.120,36.850,42.000,38.790,3.210,3.000,0.025,0.000,9.640,6.510,0.000,16.150,30.000,0.200,4.000,1.000
38.780,37.170,35.140,36.860,42.000,38.780,3.220,3.000,0.025,0.000,9.660,6.530,0.000,16.190,30.000,0.200,4.000,1.000
38.790,37.180,35.140,36.880,42.000,38.790,3.210,3.000,0.025,0.000,9.620,6.540,0.000,16.160,30.000,0.200,4.000,1.000
38.790,37.170,35.160,36.890,42.000,38.790,3.210,3.000,0.025,0.000,9.630,6.560,0.000,16.190,30.000,0.200,4.000,1.000
38.810,37.180,35.160,36.900,42.000,38.810,3.190,3.000,0.025,0.000,9.570,6.570,0.000,16.150,30.000,0.200,4.000,1.000
38.810,37.180,35.180,36.910,42.000,38.810,3.190,3.000,0.025,0.000,9.580,6.590,0.000,16.170,30.000,0.200,4.000,1.000
38.820,37.190,35.180,36.920,42.000,38.820,3.180,3.000,0.025,0.000,9.550,6.610,0.000,16.160,30.000,0.200,4.000,1.000
38.820,37.180,35.200,36.940,42.000,38.820,3.180,3.000,0.025,0.000,9.550,6.620,0.000,16.180,30.000,0.200,4.000,1.000
38.830,37.200,35.210,36.940,42.000,38.830,3.170,3.000,0.025,0.000,9.510,6.640,0.000,16.150,30.000,0.200,4.000,1.000
38.830,37.200,35.220,36.960,42.000,38.830,3.170,3.000,0.025,0.000,9.510,6.650,0.000,16.160,30.000,0.200,4.000,1.000
38.840,37.220,35.230,36.960,42.000,38.840,3.160,3.000,0.025,0.000,9.470,6.670,0.000,16.140,30.000,0.200,4.000,1.000
38.850,37.210,35.250,36.990,42.000,38.850,3.150,3.000,0.025,0.000,9.450,6.680,0.000,16.140,30.000,0.200,4.000,1.000
38.870,37.220,35.250,36.990,42.000,38.870,3.130,3.000,0.025,0.000,9.400,6.700,0.000,16.100,30.000,0.200,4.000,1.000
38.870,37.220,35.270,37.010,42.000,38.870,3.130,3.000,0.025,0.000,9.380,6.720,0.000,16.100,30.000,0.200,4.000,1.000
38.890,37.240,35.280,37.020,42.000,38.890,3.110,3.000,0.025,0.000,9.320,6.730,0.000,16.060,30.000,0.200,4.000,1.000
38.900,37.230,35.290,37.040,42.000,38.900,3.100,3.000,0.025,0.000,9.310,6.750,0.000,16.060,30.000,0.200,4.000,1.000
38.910,37.240,35.300,37.040,42.000,38.910,3.090,3.000,0.025,0.000,9.280,6.760,0.000,16.040,30.000,0.200,4.000,1.000
38.910,37.230,35.320,37.060,42.000,38.910,3.090,3.000,0.025,0.000,9.260,6.780,0.000,16.040,30.000,0.200,4.000,1.000
38.920,37.250,35.320,37.070,42.000,38.920,3.080,3.000,0.025,0.000,9.230,6.790,0.000,16.020,30.000,0.200,4.000,1.000
38.930,37.240,35.340,37.090,42.000,38.930,3.070,3.000,0.025,0.000,9.220,6.810,0.000,16.020,30.000,0.200,4.000,1.000
38.940,37.260,35.350,37.090,42.000,38.940,3.060,3.000,0.025,0.000,9.170,6.820,0.000,16.000,30.000,0.200,4.000,1.000
38.950,37.260,35.360,37.120,42.000,38.950,3.050,3.000,0.025,0.000,9.160,6.840,0.000,16.000,30.000,0.200,4.000,1.000
38.960,37.270,35.370,37.120,42.000,38.960,3.040,3.000,0.025,0.000,9.120,6.850,0.000,15.970,30.000,0.200,4.000,1.000
38.960,37.270,35.380,37.140,42.000,38.960,3.040,3.000,0.025,0.000,9.120,6.870,0.000,15.980,30.000,0.200,4.000,1.000
38.970,37.290,35.400,37.150,42.000,38.970,3.030,3.000,0.025,0.000,9.090,6.880,0.000,15.980,30.000,0.200,4.000,1.000
38.970,37.280,35.410,37.170,42.000,38.970,3.030,3.000,0.025,0.000,9.080,6.900,0.000,15.980,30.000,0.200,4.000,1.000
38.980,37.300,35.420,37.170,42.000,38.980,3.020,3.000,0.025,0.000,9.060,6.910,0.000,15.980,30.000,0.200,4.000,1.000
38.990,37.300,35.430,37.200,42.000,38.990,3.010,3.000,0.025,0.000,9.030,6.930,0.000,15.960,30.000,0.200,4.000,1.000
38.990,37.310,35.440,37.200,42.000,38.990,3.010,3.000,0.025,0.000,9.020,6.940,0.000,15.970,30.000,0.200,4.000,1.000
39.000,37.310,35.460,37.230,42.000,39.000,3.000,3.000,0.025,0.000,8.990,6.960,0.000,15.950,30.000,0.200,4.000,1.000
39.000,37.330,35.470,37.230,42.000,39.000,3.000,3.000,0.025,0.000,8.990,6.970,0.000,15.960,30.000,0.200,4.000,1.000
39.010,37.320,35.480,37.250,42.000,39.010,2.990,3.000,0.025,0.000,8.960,6.990,0.000,15.940,30.000,0.200,4.000,1.000
39.020,37.340,35.490,37.250,42.000,39.020,2.980,3.000,0.025,0.000,8.940,7.000,0.000,15.940,30.000,0.200,4.000,1.000
